waya	w a y a
omperekereko	o m p e r e k e r e k o
amaziga	a m a z i g a
ogenda	o g e n d a
maaso	m a a s o
mboozi	m b o o z i
ewaka	e w a k a
baweereddwa	b a w e e r e d d w a
okwegomba	o k w e g o m b a
munaana	m u n a a n a
naziggya	n a z i g g y a
asangiddwa	a s a n g i d d w a
abadde	a b a d d e
tebikyasomebwa	t e b i k y a s o m e b w a
ngotambula	n g o t a m b u l a
ekinyuma	e k i n y u m a
kkojjaawe	k k o j j a a w e
kibuga	k i b u g a
ejjambiya	e j j a m b i y a
yaleeta	y a l e e t a
banjagala	b a n j a g a l a
olwokwewaayo	o l w o k w e w a a y o
olwo	o l w o
tezimala	t e z i m a l a
keegugungo	k e e g u g u n g o
katagaza	k a t a g a z a
okwongera	o k w o n g e r a
birowoozo	b i r o w o o z o
yayongerako	y a y o n g e r a k o
ebipya	e b i p y a
ezessimba	e z e s s i m b a
azannya	a z a n n y a
nabebibiina	n a b e b i b i i n a
bo	b o
gyonna	g y o n n a
zizaala	z i z a a l a
kyayi	k y a y i
bakakiiko	b a k a k i i k o
ssaala	s s a a l a
okulwanagana	o k u l w a n a g a n a
abalina	a b a l i n a
okwetooloola	o k w e t o o l o o l a
okusasula	o k u s a s u l a
babendako	b a b e n d a k o
kubaawo	k u b a a w o
gokunywa	g o k u n y w a
okkukolera	o k k u k o l e r a
nsanikiddwa	n s a n i k i d d w a
beebo	b e e b o
yobubakko	y o b u b a k k o
buntu	b u n t u
teweesiize	t e w e e s i i z e
ezakawuka	e z a k a w u k a
ba	b a
basobola	b a s o b o l a
okuddamu	o k u d d a m u
byebyafaayo	b y e b y a f a a y o
ye	y e
z’ennimi	z ’ e n n i m i
ngeri	n g e r i
ekiro	e k i r o
wabanoonyi	w a b a n o o n y i
nobwenkanya	n o b w e n k a n y a
ngomukulembeze	n g o m u k u l e m b e z e
yakubiddwa	y a k u b i d d w a
talidde	t a l i d d e
atabisomye	a t a b i s o m y e
yantegeeza	y a n t e g e e z a
kwewola	k w e w o l a
erina	e r i n a
wetuuse	w e t u u s e
nabyo	n a b y o
tebakirizibwa	t e b a k i r i z i b w a
bazadde	b a z a d d e
kukyaza	k u k y a z a
boluswayiri	b o l u s w a y i r i
bulemesa	b u l e m e s a
gwokka	g w o k k a
bujjuvu	b u j j u v u
nti	n t i
amasasi	a m a s a s i
biteekwa	b i t e e k w a
olowooza	o l o w o o z a
obuyonjo	o b u y o n j o
kwogeraganya	k w o g e r a g a n y a
bwetali	b w e t a l i
okwekuuma	o k w e k u u m a
ekinusu	e k i n u s u
olwokukwata	o l w o k u k w a t a
kubanga	k u b a n g a
waleme	w a l e m e
ogusinga	o g u s i n g a
gavumenti	g a v u m e n t i
wabaserikale	w a b a s e r i k a l e
bakozesa	b a k o z e s a
