nga	n g a
oyo	o y o
yatwala	y a t w a l a
abaganyuzi	a b a g a n y u z i
kuno	k u n o
eyo	e y o
abasirikirwa	a b a s i r i k i r w a
gye	g y e
agoomunda	a g o o m u n d a
abaaleeta	a b a a l e e t a
abakyala	a b a k y a l a
ttano	t t a n o
biseera	b i s e e r a
oluwala	o l u w a l a
liba	l i b a
gaazo	g a a z o
ngalinayo	n g a l i n a y o
bulijjo	b u l i j j o
ebirungi	e b i r u n g i
omulimu	o m u l i m u
yange	y a n g e
okugula	o k u g u l a
mbadde	m b a d d e
mboozi	m b o o z i
emmotoka	e m m o t o k a
eziggyayo	e z i g g y a y o
waliwo	w a l i w o
omwana	o m w a n a
zino	z i n o
eyali	e y a l i
nnyingi	n n y i n g i
tugende	t u g e n d e
ekitwala	e k i t w a l a
nsuubira	n s u u b i r a
okwambala	o k w a m b a l a
bannayuganda	b a n n a y u g a n d a
ggwanga	g g w a n g a
osobola	o s o b o l a
baki	b a k i
omulenzi	o m u l e n z i
za	z a
lwakwana	l w a k w a n a
be	b e
muyizi	m u y i z i
bali	b a l i
mu	m u
nendala	n e n d a l a
enkya	e n k y a
londako	l o n d a k o
amakulu	a m a k u l u
gasiima	g a s i i m a
oba	o b a
yazaalibwa	y a z a a l i b w a
buli	b u l i
nnyo	n n y o
mbuto	m b u t o
ngero	n g e r o
eggwanga	e g g w a n g a
wooteri	w o o t e r i
ani	a n i
tulye	t u l y e
bakambwe	b a k a m b w e
biyamba	b i y a m b a
ekitabo	e k i t a b o
likaawa	l i k a a w a
ku	k u
yagambibwa	y a g a m b i b w a
ddagala	d d a g a l a
obulungi	o b u l u n g i
omugenzi	o m u g e n z i
bizinensi	b i z i n e n s i
lyabwe	l y a b w e
gomesi	g o m e s i
okusomesa	o k u s o m e s a
abalambuzi	a b a l a m b u z i
eddiini	e d d i i n i
amagye	a m a g y e
tonninnyira	t o n n i n n y i r a
nokuzaala	n o k u z a a l a
kumbe	k u m b e
ssomero	s s o m e r o
obulungi	o b u l u n g i
bawagira	b a w a g i r a
ozikozese	o z i k o z e s e
okuyita	o k u y i t a
eziyingira	e z i y i n g i r a
ebyobulamu	e b y o b u l a m u
ebbali	e b b a l i
baali	b a a l i
wooteri	w o o t e r i
nkoko	n k o k o
gwa	g w a
eri	e r i
lyomusujja	l y o m u s u j j a
lwaki	l w a k i
